placeDcid,placeName,Date:Median_Age_Person,Value:Median_Age_Person,Source:Median_Age_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
zip/10021,10021,2017,40.2,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,83497,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,44983,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,30615,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10022,10022,2017,47.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,93488,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,30807,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,23904,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10023,10023,2017,42.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,86868,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,61514,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,41182,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10024,10024,2017,43.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,69531,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,58512,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33872,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10025,10025,2017,41.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,49309,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,94382,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,48734,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10026,10026,2017,34.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33900,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,40105,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,17085,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10027,10027,2017,30.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,29004,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,65365,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,26298,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10028,10028,2017,38.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,76122,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,50091,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,29368,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10029,10029,2017,34,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,20224,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,80866,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33769,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10030,10030,2017,34.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,21920,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,30163,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,13563,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10031,10031,2017,34.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22129,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,62382,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,23957,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10032,10032,2017,34.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,20447,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,63185,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22226,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10033,10033,2017,36,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22900,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,60810,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,20654,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10034,10034,2017,36.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22976,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,44186,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,16724,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10035,10035,2017,36.5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,17113,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,35366,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,15233,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10036,10036,2017,37.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,57595,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,26868,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,19522,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
